Movie,Worldwide Net Revenue
Avatar: The Way of Water,1656580771 
Avengers: Endgame,2394731755 
Pirates of the Caribbean: On Stranger Tides,666713802 
Avengers: Age of Ultron,1030316979 
Star Wars Ep. VII: The Force Awakens,1758615817 
Avengers: Infinity War,1748359754 
Pirates of the Caribbean: At World’s End,660996492 
Justice League,355945209 
Spectre,579077344 
Mission: Impossible Dead Reckoning Part One,-290000000 
Star Wars: The Rise of Skywalker,797767997 
Solo: A Star Wars Story,118151347 
John Carter,19078100 
Batman v Superman: Dawn of Justice,609395091 
Star Wars Ep. VIII: The Last Jedi,1069635141 
The Lion King,1387733638 
Tangled,323777242 
Spider-Man 3,636860230 
Captain America: Civil War,901899586 
Thor: Love and Thunder,510928081 
Harry Potter and the Half-Blood Prince,679411069 
The Hobbit: The Desolation of Smaug,709358436 
The Hobbit: The Battle of the Five Armies,690323039 
The Fate of the Furious,986703796 
No Time to Die,509959662 
Avatar,2662384102 
Superman Returns,159081192 
The Dark Knight Rises,852228107 
Pirates of the Caribbean: Dead Men Tell No Tales,564861794 
Quantum of Solace,361692078 
The Avengers,1290100211 
Pirates of the Caribbean: Dead Man’s Chest,841179725 
Man of Steel,442999518 
The Chronicles of Narnia: Prince Caspian,192341288 
The Lone Ranger,35002115 
The Amazing Spider-Man,537890267 
Battleship,93477717 
Transformers: The Last Knight,385893340 
Jurassic World,1454963641 
Men in Black 3,439213485 
Transformers: Revenge of the Fallen,626519699 
Transformers: Age of Extinction,894054072 
X-Men: The Last Stand,249260946 
Robin Hood,112459006 
King Kong,343517357 
The Golden Compass,162262558 
Tenet,157261526 
Spider-Man: No Way Home,1710048245 
Black Panther,1136494320 
Titanic,2007986545 
Incredibles 2,1042805359 
Rogue One: A Star Wars Story,855083596 
Finding Dory,825006125 
Toy Story 4,873064540 
Toy Story 3,868879522 
Doctor Strange in the Multiverse of Madness,752224986 
Iron Man 3,1015392272 
Guardians of the Galaxy Vol 2,669087963 
Spider-Man 2,594697557 
The Batman,567562936 
Alice in Wonderland,825491110 
Skyfall,910526981 
The Hobbit: An Unexpected Journey,814938545 
Monsters University,543455810 
Oz the Great and Powerful,290359051 
X-Men: Days of Future Past,547862775 
The Amazing Spider-Man 2,508996336 
Cars 2,360155383 
Black Widow,179751131 
Fast & Furious Presents: Hobbs & Shaw,560732926 
F9: The Fast Saga,520752238 
Tron: Legacy,199866199 
Black Adam,191261706 
2012,557677748 
Eternals,201731759 
Fantastic Beasts: The Crimes of Grindelwald,448455339 
Terminator Salvation,165491792 
Lightyear,18768299 
Jungle Cruise,10469803 
Green Lantern,19535492 
Fantastic Beasts: The Secrets of Dumbledore,204560145 
Prince of Persia: Sands of Time,136359676 
Dark Phoenix,46356895 
Onward,-66642399 
Wonder Woman 1984,-33639768 
Mulan,-130026460 
The Tomorrow War,-180780000 
The Gray Man,-199548822 
Transformers: Dark of the Moon,928794079 
The Mummy,214953905 
Jack the Giant Slayer,2687603 
Furious 7,1324553486 
Star Trek Into Darkness,277381584 
World War Z,341861650 
The Great Gatsby,163640419 
Disney’s A Christmas Carol,125709697 
Pacific Rim,221002906 
The Matrix Resurrections,-30802245 
The Good Dinosaur,146271037 
Iron Man,399171547 
The Dark Knight,821234167 
Indiana Jones and the Kingdom of the Crystal Skull,601635413 
Brave,369606532 
Kong: Skull Island,376072059 
Star Trek Beyond,150673708 
Maleficent: Mistress of Evil,304181357 
Blade Runner 2049,73829058 
Terminator: Dark Fate,65367666 
The Suicide Squad,-17902263 
Aladdin,864587513 
Thor: Ragnarok,670482778 
"The Chronicles of Narnia: The Lion, the Witch a…",540539572 
Maleficent,578536735 
Fantastic Beasts and Where to Find Them,631724385 
WALL-E,352508025 
Rush Hour 3,76585882 
The Legend of Tarzan,168902025 
Hugo,47784 
Valerian and the City of a Thousand Planets,35098356 
Jupiter Ascending,2982519 
Mission: Impossible—Fallout,609176729 
X-Men: Apocalypse,364537546 
The Meg,349267828 
Edge of Tomorrow,189028980 
Captain Marvel,954576094 
The Jungle Book,778535821 
Inside Out,678037219 
Spider-Man: Homecoming,703271291 
Suicide Squad,570744980 
Up,556463377 
Coco,622660271 
Ralph Breaks The Internet,354290830 
Monsters vs. Aliens,206687380 
Cars 3,208541369 
G.I. Joe: The Rise of Cobra,127469017 
Wild Wild West,46229335 
The Mummy: Tomb of the Dragon Emperor,230760225 
Evan Almighty,-868671 
Waterworld,89246220 
Dolittle,76509052 
King Arthur: Legend of the Sword,-35369664 
47 Ronin,-23283185 
Turning Red,-164035029 
Top Gun: Maverick,1317575965 
Jurassic World: Fallen Kingdom,1138323302 
Guardians of the Galaxy,600882395 
Iron Man 2,451156389 
Captain America: The Winter Soldier,544401889 
Dawn of the Planet of the Apes,540644566 
The Polar Express,142183437 
Snow White and the Huntsman,231021746 
Terminator 3: Rise of the Machines,263058296 
Van Helsing,130150546 
Dumbo,183166307 
Godzilla: King of the Monsters,213299914 
Tomorrowland,36627518 
Alita: Battle Angel,231900040 
Alice Through the Looking Glass,106928112 
Jurassic World: Dominion,838765189 
Shrek Forever After,591244673 
Doctor Strange,511343174 
Big Hero 6,483415024 
How to Train Your Dragon,329870992 
Wreck-It Ralph,331511521 
Interstellar,483785349 
Dune,227073640 
Independence Day: Resurgence,219169424 
Cowboys and Aliens,13038324 
Beauty and the Beast,1108697483 
Spider-Man: Far From Home,972107522 
Aquaman,983758700 
Shrek the Third,647330936 
Inception,568537960 
The Hunger Games: Mockingjay - Part 2,487396133 
Fast and Furious 6,629300444 
Godzilla,369076069 
X-Men: First Class,195408305 
The Curious Case of Benjamin Button,169631958 
The Sorcerer's Apprentice,57986320 
Poseidon,21674817 
Warcraft,278899824 
The Irishman,-158085294 
Deepwater Horizon,-33640691 
The Chronicles of Narnia: The Voyage of the Daw…,263186950 
Godzilla vs. Kong,313043852 
Terminator: Genisys,277150894 
Pacific Rim: Uprising,135930148 
Alexander,12297191 
War for the Planet of the Apes,337592267 
Pearl Harbor,297739853 
Transformers,557272592 
Frozen II,1294735491 
Wonder Woman,667691766 
Frozen,1111629241 
Zootopia,854629935 
Harry Potter and the Order of the Phoenix,789619849 
Harry Potter and the Goblet of Fire,736742787 
The Matrix Reloaded,588576929 
I am Legend,435532684 
Moana,481499621 
Hancock,474234272 
Shang-Chi and the Legend of the Ten Rings,282224634 
Charlie and the Chocolate Factory,325825484 
Ratatouille,476549695 
Thor: The Dark World,494602516 
Batman Begins,208858124 
Mission: Impossible—Rogue Nation,538858992 
Dunkirk,368058826 
Thor,299326618 
Madagascar: Escape 2 Africa,449680774 
X-Men Origins: Wolverine,224825760 
Night at the Museum: Battle of the Smithsonian,252231063 
Kung Fu Panda 2,514837547 
Mad Max: Fury Road,215769378 
Pokémon: Detective Pikachu,280516010 
The Matrix Revolutions,277300260 
Ready Player One,429055653 
Chicken Little,160043823 
Mission: Impossible III,249387745 
Angels & Demons,340875846 
Troy,333152040 
The Last Airbender,169713881 
Bee Movie,137594577 
G-Force,142817841 
Bolt,178015029 
Encanto,80803231 
Wrath of the Titans,155270083 
Beowulf,45080579 
Dark Shadows,88202668 
White House Down,55440387 
Space Jam: A New Legacy,-6012054 
The Wolfman,-7365642 
The Great Wall,184486852 
Pan,1525973 
Mars Needs Moms,-110450242 
Moonfall,-90946805 
Red Notice,-149826362 
6 Underground,-150000000 
Flushed Away,30357126 
Madagascar 3: Europe's Most Wanted,601921271 
Mission: Impossible—Ghost Protocol,549713230 
How to Train Your Dragon 2,469586270 
Tarzan,303191819 
Mr. Peabody & Sherman,124806430 
Rise of the Guardians,161900902 
Sahara,-23354610 
Ghostbusters,85008658 
Die Another Day,289942139 
Pirates of the Caribbean: The Curse of the Blac…,514310819 
Star Trek,246839614 
Armageddon,414600000 
Men in Black 2,301767803 
Captain America: The First Avenger,230569776 
Kung Fu Panda 3,381170825 
Lethal Weapon 4,145400000 
G.I. Joe: Retaliation,235740705 
The Last Samurai,316810575 
Fun With Dick And Jane,63018919 
Exodus: Gods and Kings,128314513 
The BFG,59646680 
Gemini Man,26598362 
Gods of Egypt,-1163244 
Desert Warrior,-140000000 
Spider-Man,682706375 
Watchmen,48976250 
Stealth,-61583254 
The Incredible Hulk,128073859 
Hulk,108031679 
Final Fantasy: The Spirits Within,-51868170 
"The Twilight Saga: Breaking Dawn, Part 2",693524737 
The Croods,438068425 
The Revenant,397938302 
The World is Not Enough,226730660 
Rango,110724600 
Master and Commander: The Far Side of the World,77912137 
Turbo,151896578 
Teenage Mutant Ninja Turtles: Out of the Shadows,110328374 
Happy Feet Two,22956462 
Miami Vice,29920076 
Strange World,-66196281 
The Nutcracker and the Four Realms,37124300 
War of the Worlds,474836535 
Penguins of Madagascar,234942531 
The Hunger Games: Catching Fire,734868047 
Harry Potter and the Prisoner of Azkaban,659592708 
The Bourne Ultimatum,314043396 
Ant-Man and the Wasp,493144660 
Kung Fu Panda,501910531 
Ant-Man,388858449 
Home,255997896 
Mary Poppins Returns,218901032 
Puss in Boots,424987477 
Megamind,191887208 
Bad Boys II,143271982 
Rio 2,362846291 
Salt,160650494 
Noah,222831065 
The Adventures of Tintin,243993951 
After Earth,121499665 
Australia,85080810 
R.I.P.D.,-50923322 
How to Train Your Dragon: The Hidden World,392533238 
"The Twilight Saga: Breaking Dawn, Part 1",558771489 
Dinosaur,228648063 
Logan,487202315 
Night at the Museum: Secret of the Tomb,226756621 
Harry Potter and the Deathly Hallows: Part II,1191278261 
The Hunger Games: Mockingjay - Part 1,641575131 
Harry Potter and the Sorcerer’s Stone,840043494 
Jumanji: The Next Level,673210215 
Harry Potter and the Deathly Hallows: Part I,826767705 
The Da Vinci Code,642820459 
X-Men 2,281348630 
Fast Five,505163454 
Teenage Mutant Ninja Turtles,360004754 
Sherlock Holmes: A Game of Shadows,410663443 
The Day After Tomorrow,430840117 
The Boss Baby,402909949 
Clash of the Titans,368214888 
Trolls,218242613 
Godzilla,251000000 
Prometheus,277448265 
The Bourne Legacy,155355920 
Batman & Robin,113317814 
Skyscraper,179858121 
The Call of the Wild,-17648809 
Total Recall,86856088 
Assassin’s Creed,115759682 
Monster Trucks,-63357202 
The 13th Warrior,-63301101 
How the Grinch Stole Christmas,222445403 
Mission: Impossible 2,429588516 
The Perfect Storm,208711434 
Jason Bourne,296168316 
Uncharted,280689914 
Fantastic Four: Rise of the Silver Surfer,169480691 
Life of Pi,499310368 
Ghost Rider,109545589 
Rampage,307947217 
Charlie's Angels: Full Throttle,107163273 
Elysium,166192091 
Oblivion,167916633 
Power Rangers,22531552 
Stuart Little 2,46000000 
RoboCop,122981799 
The Chronicles of Riddick,-12787249 
The Fantastic Four,47849187 
Speed Racer,-26605538 
The Island,43018913 
How Do You Know?,-70371823 
Outlaw King,-120000000 
Emancipation,-120000000 
Knight and Day,141751370 
Tang Ren Jie Tan An 3,582072066 
Venom,740081053 
Star Wars Ep. I: The Phantom Menace,912044677 
Star Wars Ep. III: Revenge of the Sith,733998877 
Star Wars Ep. II: Attack of the Clones,541695615 
"Monsters, Inc.",445483719 
The Wolverine,301456852 
Dante’s Peak,63200000 
The Huntsman: Winter’s War,50149302 
Windtalkers,-37371735 
Triple Frontier,-115000000 
Astérix aux Jeux Olympiques,19499811 
Gulliver's Travels,120017848 
Ferdinand,177510892 
Deadpool 2,676362370 
Gravity,575710761 
Night at the Museum,469446407 
Venom: Let There be Carnage,391546922 
Mr. and Mrs. Smith,376124090 
San Andreas,346258539 
The Smurfs,453749323 
Live Free or Die Hard,272288147 
The Divergent Series: Insurgent,185075882 
Ocean's Twelve,252989076 
Tomorrow Never Dies,229504276 
The Patriot,105300000 
300: Rise of an Empire,220780051 
The Aviator,98370892 
Passengers,192239672 
The Green Hornet,119155503 
Miss Peregrine’s Home for Peculiar Children,185986876 
Real Steel,153880341 
Men in Black: International,143015298 
The A-Team,67241171 
The Smurfs 2,238547523 
The Divergent Series: Allegiant,62022517 
The Taking of Pelham 123,42364370 
Ender's Game,17983283 
Home on the Range,-33517539 
Speed 2: Cruise Control,40468000 
Kingdom of Heaven,108674938 
Ghost in the Shell,57910690 
Around the World in 80 Days,-37995841 
Babylon,-68248545 
Dr. Seuss’ The Cat in the Hat,24818283 
Ali,-21316034 
The Martian,545609107 
Allied,13266661 
"I, Robot",243629585 
Stuart Little,193815224 
The Princess and the Frog,165997378 
"10,000 B.C.",164065678 
Ice Age: Collision Course,297156682 
Starship Troopers,16100000 
Town & Country,-94635231 
Kingsman: The Golden Circle,304803696 
Gone in 60 Seconds,129343008 
Gladiator,353435588 
The Hangover 3,259000072 
A Wrinkle in Time,30214549 
Public Enemies,109782709 
Casino Royale,492420216 
Minority Report,256824714 
Bumblebee,363195589 
Cloud Atlas,28673154 
Harry Potter and the Chamber of Secrets,774954530 
Terminator 2: Judgment Day,415376182 
Batman Forever,236529144 
Planet of the Apes,262211740 
National Treasure,231323410 
Django Unchained,349841566 
1917,289140440 
Little Fockers,210650574 
True Lies,265300000 
American Gangster,167985456 
Cloudy with a Chance of Meatballs,136827677 
The Other Guys,70936470 
Lemony Snicket's A Series of Unfortunate Events,112956024 
The Wolf of Wall Street,289816136 
Epic,162794441 
Eraser,134400000 
The Hunchback of Notre Dame,225500000 
The Emperor's New Groove,69630573 
The Expendables 2,211979256 
Where the Wild Things Are,-876344 
Eragon,149488115 
Hercules,143388614 
The Tourist,178731369 
End of Days,112026975 
Spies in Disguise,65124093 
The Stepford Wives,-3849518 
Surf’s Up,45395745 
Blood Diamond,71377916 
Midway,26815030 
Legend of the Guardians: The Owls of Ga'Hoole,39716717 
Land of the Lost,-30451359 
Peter Pan,-4744515 
Wonder Park,15103325 
Catwoman,-17921954 
The Expendables 3,109461378 
West Side Story,-25173671 
Treasure Planet,-8200000 
The King’s Man,21125300 
Green Zone,-2476980 
Geostorm,120796009 
Point Break,26704591 
Cats,-24431645 
In the Heart of the Sea,-10306691 
Transcendence,3039258 
Son of the Mask,-40081578 
Mortal Engines,-14518096 
Chaos Walking,-72927831 
The Last Duel,-69919997 
The Adventures of Pluto Nash,-92905005 
Jin líng shí san chai,-1772983 
The Midnight Sky,-99924385 
Artemis Fowl,-100000000 
The Peanuts Movie,151091610 
The LEGO Movie 2: The Second Part,91131035 
Robin Hood,-13789988 
The Mummy Returns,337040395 
Ford v. Ferrari,126790706 
Gangs of New York,86124621 
Alien: Covenant,141521247 
Cinderella,447351353 
Ice Age: Continental Drift,784765137 
Black Hawk Down,64691085 
Sex and the City 2,199680778 
Percy Jackson & the Olympians: The Lightning Thief,128050874 
The Campaign,9907746 
Unstoppable,70720921 
The Fifth Element,168892820 
The Road to El Dorado,-29300000 
The Lovely Bones,-105552 
Ben-Hur,-3330352 
Seventh Son,13874967 
Finding Nemo,842094852 
The Lord of the Rings: The Return of the King,1026210896 
The Lord of the Rings: The Two Towers,825148764 
Lara Croft: Tomb Raider,179330185 
Kingsman: The Secret Service,310561724 
The Lord of the Rings: The Fellowship of the Ring,798216824 
Jurassic Park III,272900000 
Rise of the Planet of the Apes,377986200 
The Spiderwick Chronicles,70339667 
The Incredibles,539441092 
A Good Day to Die Hard,212249198 
The Alamo,-68088638 
Cutthroat Island,-73482678 
The Secret Life of Walter Mitty,96861183 
65,-91000000 
Jumanji: Welcome to the Jungle,871632807 
Men in Black,497790539 
Toy Story 2,421358276 
Rush Hour 2,257425832 
Sherlock Holmes,408438212 
Bad Boys For Life,334471663 
Ice Age: Dawn of the Dinosaurs,796686817 
Sonic the Hedgehog 2,312407997 
Spider-Man: Into The Spider-Verse 3D,285464627 
What Lies Beneath,198693989 
Sonic The Hedgehog,212536124 
Rio,397519809 
